paridadeCompra,paridadeVenda,cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
"0,88912","0,89368","2,08765","2,10016",2002-01-08 14:30:00.0,Intermediário
"0,89072","0,89529","2,10031","2,11288",2002-01-08 15:00:00.0,Intermediário
"0,89002","0,89459","2,10667","2,12017",2002-01-08 15:30:00.0,Intermediário
"0,88982","0,89439","2,10798","2,12059",2002-01-08 16:00:00.0,Intermediário
"0,88992","0,89449","2,11088","2,12351",2002-01-08 16:30:00.0,Fechamento Interbancário
"0,89155","0,89345","2,09034","2,09549",2002-01-08 17:30:00.0,Fechamento
"0,89042","0,89499","2,12364","2,14349",2002-01-09 09:39:00.0,Abertura
"0,89012","0,89469","2,12738","2,14098",2002-01-09 10:00:00.0,Intermediário
"0,89042","0,89499","2,11741","2,13096",2002-01-09 10:30:00.0,Intermediário
"0,89012","0,89469","2,11225","2,12667",2002-01-09 11:00:00.0,Intermediário
"0,88992","0,89449","2,11622","2,12977",2002-01-09 11:30:00.0,Intermediário
"0,89002","0,89459","2,12002","2,13359",2002-01-09 12:00:00.0,Intermediário
"0,88872","0,89328","2,11426","2,12691",2002-01-09 12:30:00.0,Intermediário
"0,88662","0,89118","2,09864","2,1112",2002-01-09 13:00:00.0,Intermediário
"0,88662","0,89118","2,09864","2,1112",2002-01-09 13:30:00.0,Intermediário
"0,88672","0,89128","2,09887","2,11144",2002-01-09 14:00:00.0,Intermediário
"0,88593","0,89048","2,09698","2,10954",2002-01-09 14:30:00.0,Intermediário
"0,88652","0,89108","2,11081","2,12344",2002-01-09 15:00:00.0,Intermediário
"0,88742","0,89198","2,10497","2,11756",2002-01-09 15:30:00.0,Intermediário
"0,88742","0,89198","2,10497","2,11845",2002-01-09 16:00:00.0,Intermediário
"0,88662","0,89118","2,10307","2,11655",2002-01-09 16:30:00.0,Fechamento Interbancário
"0,89016","0,89205","2,11732","2,12253",2002-01-09 18:04:00.0,Fechamento
"0,89052","0,89509","2,11943","2,13926",2002-01-10 09:36:00.0,Abertura
"0,89032","0,89489","2,12518","2,13878",2002-01-10 10:00:00.0,Intermediário
"0,88992","0,89449","2,12423","2,13692",2002-01-10 10:30:00.0,Intermediário
"0,88902","0,89358","2,12031","2,13299",2002-01-10 11:00:00.0,Intermediário
"0,88972","0,89429","2,12286","2,13555",2002-01-10 11:30:00.0,Intermediário
"0,88942","0,89398","2,12482","2,13752",2002-01-10 12:00:00.0,Intermediário
"0,88892","0,89348","2,12274","2,13632",2002-01-10 12:30:00.0,Intermediário
"0,89052","0,89509","2,12388","2,13747",2002-01-10 13:00:00.0,Intermediário
"0,89062","0,89519","2,12412","2,13771",2002-01-10 13:30:00.0,Intermediário
"0,89131","0,89589","2,12578","2,13938",2002-01-10 14:00:00.0,Intermediário
"0,89092","0,89549","2,12483","2,13842",2002-01-10 14:30:00.0,Intermediário
"0,89062","0,89519","2,12857","2,14129",2002-01-10 15:00:00.0,Intermediário
"0,89072","0,89529","2,14573","2,15943",2002-01-10 15:30:00.0,Intermediário
"0,88992","0,89449","2,15449","2,16734",2002-01-10 16:00:00.0,Intermediário
"0,88992","0,89449","2,1536","2,16644",2002-01-10 16:30:00.0,Fechamento Interbancário
"0,89145","0,89335","2,12951","2,13474",2002-01-10 18:08:00.0,Fechamento
"0,89082","0,89539","2,16913","2,18922",2002-01-11 09:35:00.0,Abertura
"0,88992","0,89449","2,16962","2,18612",2002-01-11 10:00:00.0,Intermediário
"0,89022","0,89479","2,16322","2,17612",2002-01-11 10:30:00.0,Intermediário
"0,89022","0,89479","2,15877","2,17433",2002-01-11 11:00:00.0,Intermediário
"0,89042","0,89499","2,15214","2,16855",2002-01-11 11:30:00.0,Intermediário
"0,89012","0,89469","2,14785","2,16246",2002-01-11 12:00:00.0,Intermediário
"0,89012","0,89469","2,14963","2,16335",2002-01-11 12:30:00.0,Intermediário
"0,89002","0,89459","2,14227","2,15774",2002-01-11 13:00:00.0,Intermediário
"0,88882","0,89338","2,14028","2,15573",2002-01-11 13:30:00.0,Intermediário
"0,88872","0,89328","2,14004","2,15549",2002-01-11 14:00:00.0,Intermediário
"0,88892","0,89348","2,14052","2,15597",2002-01-11 14:30:00.0,Intermediário
"0,88862","0,89318","2,13979","2,15257",2002-01-11 15:00:00.0,Intermediário
"0,88882","0,89338","2,13761","2,15037",2002-01-11 15:30:00.0,Intermediário
"0,88842","0,89298","2,13221","2,14584",2002-01-11 16:00:00.0,Intermediário
"0,88912","0,89368","2,13388","2,14752",2002-01-11 16:30:00.0,Fechamento Interbancário
"0,89165","0,89355","2,15424","2,15952",2002-01-11 18:06:00.0,Fechamento
"0,89151","0,89609","2,14409","2,16405",2002-01-14 09:44:00.0,Abertura
"0,89092","0,89549","2,14176","2,15454",2002-01-14 10:00:00.0,Intermediário
"0,89101","0,89559","2,1518","2,16464",2002-01-14 10:30:00.0,Intermediário
"0,88982","0,89439","2,1409","2,15368",2002-01-14 11:00:00.0,Intermediário
"0,89032","0,89489","2,14388","2,15668",2002-01-14 11:30:00.0,Intermediário
"0,89072","0,89529","2,14128","2,15406",2002-01-14 12:00:00.0,Intermediário
"0,89072","0,89529","2,14395","2,15585",2002-01-14 12:30:00.0,Intermediário
"0,89111","0,89569","2,14491","2,15771",2002-01-14 13:00:00.0,Intermediário
"0,89151","0,89609","2,14587","2,15868",2002-01-14 13:30:00.0,Intermediário
"0,89251","0,89709","2,14827","2,16109",2002-01-14 14:00:00.0,Intermediário
"0,89161","0,89619","2,14611","2,15892",2002-01-14 14:30:00.0,Intermediário
"0,89141","0,89599","2,13939","2,15216",2002-01-14 15:00:00.0,Intermediário
"0,89211","0,89669","2,13482","2,14757",2002-01-14 15:30:00.0,Intermediário
"0,89201","0,89659","2,13637","2,15092",2002-01-14 16:00:00.0,Intermediário
