paridadeCompra,paridadeVenda,cotacaoCompra,cotacaoVenda,dataHoraCotacao,tipoBoletim
"1,43762","1,44438","3,37553","3,39429",2002-01-08 14:30:00.0,Intermediário
"1,43942","1,44619","3,39415","3,41301",2002-01-08 15:00:00.0,Intermediário
"1,43752","1,44428","3,40261","3,42294",2002-01-08 15:30:00.0,Intermediário
"1,43732","1,44408","3,40501","3,42391",2002-01-08 16:00:00.0,Intermediário
"1,43752","1,44428","3,4098","3,42872",2002-01-08 16:30:00.0,Fechamento Interbancário
"1,43978","1,44222","3,37571","3,38258",2002-01-08 17:30:00.0,Fechamento
"1,43852","1,44528","3,43087","3,46145",2002-01-09 09:39:00.0,Abertura
"1,43872","1,44549","3,43854","3,45906",2002-01-09 10:00:00.0,Intermediário
"1,43822","1,44498","3,42009","3,4405",2002-01-09 10:30:00.0,Intermediário
"1,43872","1,44549","3,41408","3,43593",2002-01-09 11:00:00.0,Intermediário
"1,43872","1,44549","3,42128","3,44171",2002-01-09 11:30:00.0,Intermediário
"1,43991","1,44669","3,42987","3,45036",2002-01-09 12:00:00.0,Intermediário
"1,43892","1,44569","3,42319","3,44219",2002-01-09 12:30:00.0,Intermediário
"1,43682","1,44358","3,40095","3,41984",2002-01-09 13:00:00.0,Intermediário
"1,43672","1,44348","3,40072","3,4196",2002-01-09 13:30:00.0,Intermediário
"1,43702","1,44378","3,40143","3,42031",2002-01-09 14:00:00.0,Intermediário
"1,43512","1,44188","3,39693","3,41581",2002-01-09 14:30:00.0,Intermediário
"1,43413","1,44088","3,41466","3,43362",2002-01-09 15:00:00.0,Intermediário
"1,43423","1,44098","3,40199","3,42089",2002-01-09 15:30:00.0,Intermediário
"1,43273","1,43947","3,39844","3,41874",2002-01-09 16:00:00.0,Intermediário
"1,43143","1,43817","3,39535","3,41565",2002-01-09 16:30:00.0,Fechamento Interbancário
"1,43608","1,43852","3,41586","3,42281",2002-01-09 18:04:00.0,Fechamento
